Old Ward Code,New ward code,Ward,Borough,lifespan,Population - 2015,Children aged 0-15 - 2015,Working-age (16-64) - 2015,Older people aged 65+ - 2015,% All Children aged 0-15 - 2015,% All Working-age (16-64) - 2015,% All Older people aged 65+ - 2015,Mean Age - 2013,Median Age - 2013,Area - Square Kilometres,Population density (persons per sq km) - 2013,% BAME - 2011,% Not Born in UK - 2011,% English is First Language of no one in household - 2011,General Fertility Rate - 2013,Male life expectancy -2009-13,Female life expectancy -2009-13,"Rate of All Ambulance Incidents per 1,000 population - 2014",Rates of ambulance call outs for alcohol related illness - 2014,Number Killed or Seriously Injured on the roads - 2014,In employment (16-64) - 2011,Employment rate (16-64) - 2011,Rate of new registrations of migrant workers - 2011/12,Median House Price (£) - 2014,Number of properties sold - 2014,Median Household income estimate (2012/13),Number of Household spaces - 2011,% detached houses - 2011,% semi-detached houses - 2011,% terraced houses - 2011,"% Flat, maisonette or apartment - 2011",% Households Owned - 2011,% Households Social Rented - 2011,% Households Private Rented - 2011,% dwellings in council tax bands A or B - 2015,"% dwellings in council tax bands C, D or E - 2015","% dwellings in council tax bands F, G or H - 2015",Claimant rate of key out-of-work benefits (working age client group) (2014),Claimant Rate of Housing Benefit (2015),Claimant Rate of Employment Support Allowance - 2014,Rate of JobSeekers Allowance (JSA) Claimants - 2015,% dependent children (0-18) in out-of-work households - 2014,% of households with no adults in employment with dependent children - 2011,% of lone parents not in employment - 2011,(ID2010) - Rank of average score (within London) - 2010,(ID2010) % of LSOAs in worst 50% nationally - 2010,Average GCSE capped point scores - 2014,Unauthorised Absence in All Schools (%) - 2013,% with no qualifications - 2011,% with Level 4 qualifications and above - 2011,A-Level Average Point Score Per Student - 2013/14,A-Level Average Point Score Per Entry; 2013/14,Crime rate - 2014/15,Violence against the person rate - 2014/15,Deliberate Fires - 2013,% area that is open space - 2014,Cars per household - 2011,Average Public Transport Accessibility score - 2014,% travel by bicycle to work - 2011,Turnout at Mayoral election - 2012
00AFGM,E05000114,Cray Valley East,Bromley,81.4,15850,3600,9550,2700,22.7,60.3,17.1,38.2,38,13.3,1176.7,14.6,12.3,2.5,75.9,79.2,83.4,129.1,0.7,4,6623,69.3,9.8,242000,309,32230,6876,8.6,39.2,29.6,22.1,61.7,24.7,11.1,10.2,87,2.8,16.7,12.5,6.2,2.1,23.5,8,51.9,260,70,296.9,1.7,27.9,19.6,647.3,201.3,102.2,28.5,2.4,76.2,1,2.1,1.1,23
00AFGN,E05000115,Cray Valley West,Bromley,81.5,17150,4050,10500,2600,23.6,61.2,15.2,37.3,37,3.9,4371.8,13.9,10.9,2.5,67.4,78,84.8,115.2,0.7,1,6947,67.4,4.4,250000,228,31740,6925,11.4,44.3,26.8,17.6,58,33.5,6.1,14.1,77.8,8.2,18.4,14.2,6.8,2.4,24.4,7.9,51.3,219,81.8,303,1.3,28.5,18.7,677.4,205.8,71.5,25.4,0.9,23.4,1.1,2.3,1.1,23.1
00AFGP,E05000116,Crystal Palace,Bromley,79.4,12950,2700,9200,1050,20.7,71.1,8.2,34.6,34,2.3,5478.3,38.1,30.3,8.3,63.2,77.2,81.4,131.3,0.6,3,6215,69.5,31.5,250000,319,34060,6292,2.5,5.7,9.5,82.2,34.8,33.2,29.7,36,62.4,1.5,16.2,17.9,6.8,3,24.8,7,47.8,172,100,286.7,1.4,16.9,38.1,690.1,212.3,90,29.9,0.5,49.2,0.6,4.6,3.2,28.8
00AFGQ,E05000117,Darwin,Bromley,82.7,5300,1000,3050,1300,18.4,57.4,24.2,43.2,46,29,181,4.8,6.1,0.4,60,82.2,83.3,118.7,0.3,1,2293,75,3,445000,80,42810,2169,55.8,20.2,11.9,6.3,82.9,5.5,9.4,6.5,51.4,42.1,6.3,2.7,2.5,0.6,5.2,2,36.1,484,33.3,337.4,1.2,21.9,26.9,705.6,206.3,43.9,11.5,1.3,88.5,1.7,1.3,0.9,33.6
00AFGR,E05000118,Farnborough and Crofton,Bromley,85.5,14850,2550,8700,3600,17.3,58.5,24.2,43.8,45,7,2121.4,9.5,10,1.4,51,82.6,88,139.6,0.4,6,6412,75.1,3.2,395000,245,44590,6350,35.4,32.2,19.4,13,83.2,8.8,6.7,3.5,58.2,38.3,6.3,3.8,2.4,0.7,5.4,2.2,29.9,608,11.1,355.3,0.7,18.1,31,833.6,220.8,43,14.8,0.4,48.9,1.3,2.5,1.1,36.9
00AFGS,E05000119,Hayes and Coney Hall,Bromley,84.2,16250,3000,10100,3150,18.5,62,19.5,41.4,43,10.8,1500,8.3,8.7,1,49.6,81.4,86.6,82.5,0.3,1,7529,76.3,4.2,441250,240,45660,6261,18.6,58.6,9.2,13.6,88.2,3.1,7.8,2.5,62.5,34.9,5.6,2.2,2,0.8,3.8,1.7,24.4,620,0,348.8,0.7,15.7,31.8,772.9,224.2,35,9.2,0.8,68.9,1.4,2.3,1.6,37.5
00AFGT,E05000120,Kelsey and Eden Park,Bromley,85.3,16250,3000,10200,3000,18.6,63,18.4,40.9,42,5.2,3105.8,16,13.6,2.5,54.1,82.8,87.7,121.5,0.7,1,7470,75.5,7.8,421599,265,44700,6558,11,24.4,42.2,22.4,79.2,8.6,10.6,4.2,68.4,27.3,7.5,4,3,1.1,5.8,2.1,28.7,547,20,355.1,0.4,17.1,33.8,707.1,212.4,59.9,19.5,0.4,42.7,1.3,2.7,1.8,34.7
00AFGU,E05000121,Mottingham and Chislehurst North,Bromley,80.5,10300,2400,6450,1500,23.1,62.5,14.4,37,36,2.4,4250,18.4,15.1,3.6,72.4,78.3,82.2,116.2,0.6,2,4313,67.9,9.6,250000,162,32330,4488,6.8,25.4,44,23.9,55.4,31.9,10.5,13.3,81.4,5.3,17.6,16.1,6.6,3.4,25.2,8,51.3,228,85.7,296.1,1.7,26,22.1,732.5,209.1,93,27.2,1.4,44,1,2.5,1.1,26.7
00AFGW,E05000122,Orpington,Bromley,84.1,15650,2900,9350,3450,18.5,59.5,22,41.9,43,4.3,3616.3,12.6,11.9,2.3,63.9,82.6,85.5,135.4,0.6,0,6648,72.8,7.1,340000,227,38090,6487,20.5,50.2,10.3,19,74.5,15.8,8,4.4,75.6,20,11,7.1,4,1.3,17.1,4.4,46.5,419,40,328.6,1,22.3,27.1,752.5,219.4,89.6,24.7,1.1,24.6,1.2,2.9,1,35.8
00AFGX,E05000123,Penge and Cator,Bromley,82.4,17900,3900,12100,1900,21.9,67.6,10.5,35.8,36,3,5883.3,34.6,25.8,6.4,72.5,79.7,84.8,124.8,0.7,3,8475,70.4,19.3,320000,314,36090,7955,3.3,20.4,24,52.4,47.9,29.8,20.3,25.9,66.6,7.5,14,14.3,5.2,2.7,18.6,6.2,41.9,284,90.9,323.3,1.1,17,36.5,701.1,211.3,89.9,29.7,1,24.9,0.8,4.2,2.5,32.8
00AFGY,E05000124,Petts Wood and Knoll,Bromley,85.9,13950,2550,8250,3150,18.3,59,22.7,42.8,45,4.3,3220.9,9.2,10.6,1.8,64.9,83.7,88.1,79.6,0.5,0,6258,75.4,5.4,485000,237,48530,5562,30,53.4,7.6,9,89.4,2.7,6.9,0.5,48.5,51,4.6,1.9,1.6,0.6,3.3,1.5,27.6,628,0,357.2,0.7,15.2,36,818,226.5,43,7.7,0.1,24.3,1.4,2.8,0.9,42
